,dbId,external_id,ElementId,Name,Category,CategoryId,Workset,Edited by,Image,Keynote,Export to IFC,Export to IFC As,IFC Predefined Type,IfcGUID,Model,Manufacturer,Comments,URL,Description,Cost,Mark,Color,Transparency,Glow,Smoothness,Shininess,Material Type,Class,Subclass,Behavior,Young modulus X,Young modulus Y,Young modulus Z,Poisson ratio X,Poisson ratio Y,Poisson ratio Z,Shear modulus X,Shear modulus Y,Shear modulus Z,Thermal expansion coefficient X,Thermal expansion coefficient Y,Thermal expansion coefficient Z,Unit weight,Minimum yield stress,Minimum tensile strength,Thermally Treated,Reduction factor for shear,Concrete compression,Lightweight,Shear strength modification,Young modulus,Poisson ratio,Shear modulus,Thermal expansion coefficient,Species,Grade,Bending,Compression parallel to grain,Compression perpendicular to grain,Shear parallel to grain,Tension perpendicular to grain,Type Name,View Template applied to new views,New views are dependent on template,Elevation Tag,Callout Tag,Reference Label,hyperlink,View Template,View Name,Dependency,Title on Sheet,View Scale,Scale Value    1:,Display Model,Detail Level,Parts Visibility,Referencing Sheet,Referencing Detail,Crop View,Crop Region Visible,Annotation Crop,Visibility/Graphics Overrides,Graphic Display Options,Far Clipping,Far Clip Offset,Hide at scales coarser than,Phase Filter,Phase,Scope Box,Discipline,Show Hidden Lines,Color Scheme Location,Color Scheme,Default Analysis Display Style,Associated Datum,Sun Path,Detail Number,Sheet Number,Sheet Name,Rotation on Sheet,V/G Overrides Model,V/G Overrides Annotation,V/G Overrides Analytical Model,V/G Overrides Import,V/G Overrides Filters,V/G Overrides Worksets,V/G Overrides Point Clouds,Model Display,Shadows,Sketchy Lines,Lighting,Photographic Exposure,Underlay Orientation,View Range,Orientation,System Color Schemes,Depth Clipping,Depth Cueing,Background,Rendering Settings,View,Viewport Positioning,Range: Base Level,Range: Top Level,Associated Level,Wall Join Display,Title,Show Title,Show Extension Line,Preserve Title Position,Line Weight,Line Pattern,Work Plane Grid Spacing,Revision Sequence,Revision Number,Revision Date,Revision Description,Issued,Issued to,Issued by,Numbering,Organization Name,Organization Description,Building Name,Author,IfcSite GUID,IfcBuilding GUID,IfcProject GUID,Project Issue Date,Project Status,Client Name,Project Address,Project Name,Project Number,Route Analysis Settings,Scale,Date/Time Stamp,Sheet Issue Date,Drawn By,Checked By,Designed By,Approved By,Sheet Width,Sheet Height,File Path,Room Name,Room Number,Sun path size (%),Level,Moves With Nearby Elements,Detail Line,Length,Arc Leaders,Left Attachment,Right Attachment,Horizontal Align,Vertical Align,Keep Readable,Text Font,Text Size,Tab Size,Bold,Italic,Underline,Width Factor,Show Border,Leader/Border Offset,Leader Arrowhead,Service Type,Coil Bypass,Cooling Information,Heating Information,Outdoor Air Information,Calculated Heating Load,Calculated Heating Load per area,Calculated Area per Heating Load,Calculated Cooling Load,Calculated Cooling Load per area,Calculated Area per Cooling Load,Calculated Supply Airflow,Calculated Supply Airflow per area,Occupied Area,Gross Area,Occupied Volume,Gross Volume,Perimeter,Area per Person,Sensible Heat Gain per person,Latent Heat Gain per person,Specified Lighting Load per area,Specified Power Load per area,Infiltration Airflow per area,Plenum Lighting Contribution,Occupancy Schedule,Lighting Schedule,Power Schedule,Outdoor Air per Person,Outdoor Air per Area,Air Changes per Hour,Outdoor Air Method,Opening Time,Closing Time,Unoccupied Cooling Set Point,Heating Set Point,Cooling Set Point,Humidification Set Point,Dehumidification Set Point,N/S,E/W,Elev,Lat,Lon,Angle to True North,Far Clip Active,Locked Orientation,Projection Mode,Eye Elevation,Target Elevation,Camera Position,Section Box,Show Grids,Coarse Poche Material,Property Set Name,Keywords,Source URL,Source,External Material ID,Sharing,Asset library id,Density,Specific Heat,Thermal Conductivity Z,Thermal Conductivity Y,Thermal Conductivity X,Thermal Conductivity,Thermal Expansion Coefficient 2,Thermal Expansion Coefficient 1,Shear Modulus 12,Poisson Ratio 23,Poisson Ratio 12,Young's Modulus 2,Young's Modulus 1,Resistance calculation strength,Shear reinforcement yield stress,Bending reinforcement,Electrical Resistivity,Reflectivity,Porosity,Permeability,Transmits Light,Emissivity,Construction,5% Modulus of Elasticity,Average Modulus,Tension Perpendicular to Grain,Tension Parallel to Grain,Compressibility,Gas Viscosity,Segment Description,Connection Type,Roughness,Material,Schedule/Type,Fields,Sorting/Grouping,Formatting,Appearance,Filter,Phase Created,Phase Demolished,Elevation from Level,Host,Offset from Host,Armrest Left,Armrest Right,Type IFC Predefined Type,Export Type to IFC As,Export Type to IFC,Type IfcGUID,Default Elevation,Seat Material,Legs Material,Frame Material,Back Material,Width,Weight,Height,Depth,Content Author,Assembly Code,Type Image,Type Comments,Assembly Description,Type Mark,OmniClass Number,OmniClass Title,Code Name,deka,konstrukcija,noge,plahta,duzina,sirina,Structural,Structural Usage,Location Line,Base Constraint,Base Offset,Base is Attached,Base Extension Distance,Top Constraint,Unconnected Height,Top Offset,Top is Attached,Top Extension Distance,Room Bounding,Related to Mass,Area,Volume,Cross-Section,Structure,Coarse Scale Fill Pattern,Coarse Scale Fill Color,Wrapping at Inserts,Wrapping at Ends,Structural Material,Fire Rating,Function,Heat Transfer Coefficient (U),Thermal Resistance (R),Thermal Mass,Absorptance,Sill Height,Finish,Frame Type,Head Height,Define Thermal Properties by,Visual Light Transmittance,Solar Heat Gain Coefficient,Analytic Construction,Operation,Door Material,Wall Closure,Construction Type,Thickness,Trim Projection Ext,Trim Projection Int,Trim Width,Rough Width,Rough Height,Location,Panel,Circuit Number,Weight Net (Kg),Region South America,Region Oceania,Region North America,Region Middle East,Region Europe,Region Asia,Region Antarctica,Region Africa,QR code,Product group,Product family,Product SKU,Nominal width,Nominal height,Manufacturer name,Manufacturer country,Edition number,Design country,Date of publishing,Uniclass 2.0 Description,Uniclass 2.0 Code,Uniclass 1.4 Description,Uniclass 1.4 Code,UNSPSC Code,OmniClass Description,OmniClass Code,NBS Reference Description,NBS Reference Code,IFC Classification,COBIe Type Category,BIMobject category,Material secondary,Material main,Youtube clip,Technical description,Product data url,Product certification,Product Guid,Installation instructions,EAN code,Weight_IP,Watts2,Watts1,Unit_Issue,UTIL_6_Misc,UTIL_5_NonMedGas,UTIL_4_MiscGas,UTIL_3_MedGas,UTIL_2_Elec,UTIL_1_WaterDrain,Top Panel Material,Toe Panel Material,Side Panel Material,Shelf Panel Material,Nomenclature,NSN,JSN,Fund_Source_VA,Fund_Source_Navy,Fund_Source_Army,Fund_Source_AF,ELEC_Volts2,ELEC_Volts1,ELEC_Phase2,ELEC_Phase1,ELEC_HertzSwitch,ELEC_HertzDependent,ELEC_Hertz,ELEC_Amps2,ELEC_Amps1,Drawer Front Material,Door Panel Material,DetailDescription,DIM_Width_IP,DIM_Height_IP,DIM_Depth_IP,CAT_VA,CAT_Navy,CAT_IHS,CAT_Army,CAT_AF,Back Panel Material,BTUperhour,Left Back Pipe Gate,Left Pipe Gate,Right Back Pipe Gate,Right Pipe Gate,Power,Critical Path,Schedule Level,Drain Pipe Fixture Units,Gas Pipe Flow,Liquid Pipe Flow,System Classification,System Name,Function Code,Right Bottom Pipe Gate,IFCExportAs,IFCExportType,Frequency,Voltage,Cooling Capacity (kW),Heating Capacity (kW),Cooling Input Power (kW),Heating Input Power (kW),Airflow rate_HIGH_Cooling (m3/h),Airflow rate_MED_Cooling (m3/h),Airflow rate_LOW_Cooling (m3/h),Airflow rate_QUIET_Cooling (m3/h),Airflow rate_HIGH_Heating (m3/h),Airflow rate_MED_Heating (m3/h),Airflow rate_LOW_Heating (m3/h),Airflow rate_QUIET_Heating (m3/h),Sound Pressure Level_HIGH_Cooling (dB(A)),Sound Pressure Level_MED_Cooling (dB(A)),Sound Pressure Level_LOW_Cooling (dB(A)),Sound Pressure Level_QUIET_Cooling (dB(A)),Sound Pressure Level_HIGH_Heating (dB(A)),Sound Pressure Level_MED_Heating (dB(A)),Sound Pressure Level_LOW_Heating (dB(A)),Sound Pressure Level_QUIET_Heating (dB(A)),Cooling Sound Power Level (dB(A)),Heating Sound Power Level (dB(A)),Classification,White,Depth (mm),Height (mm),Width (mm),Liquid Pipe Diameter (mm),Gas Pipe Diameter (mm),Drain Pipe Diamater (mm),Article Description,Article Type,CB-NL Class,Copyright,Custom,EMCS Version,ETIM Article Class,Family Version,GLN,GTIN,Internal Art. No.,MEPcontent Class,Manufacturer Art. No.,Manufacturer URL,Product Line,Revit Version,Stabu Code,Wholesaler,Wholesaler Art. No.,Unit Weight (kg),Height Offset From Level,Has Association,Slope,Elevation at Top,Elevation at Bottom,Default Thickness,Defines Slope,Defines Constant Height,Offset From Base,Concrete Cantilever,Steel Cantilever,Alignment Method,In-Plane Projection,Manually Adjusted,Wall offset,Extend into wall (to core),Exterior Trim Visibility,Interior Trim Visibility,Extension Jamb Visibility,Window Inset,Exterior Wall Closure,Interior Wall Closure,Extension Jamb,Wall Thickness,Frame Extension,Host Family,Exterior Frame Material,Interior Frame Material,Exterior Trim Material,Interior Trim Material,Glass Panel Material,Muntin Visibility,Muntin Pattern,Exterior Trim,Interior Trim,Default Sill Height,Half Width,Exterior Material,Interior Material,Sub Family,Distance,Trim Material,Opening Width,Opening Height,Picture Frame,Sill,Trim Thickness_Picture Frame,Trim Thickness_with Sill,Sill Thickness,Number,Upper Limit,Limit Offset,Unbounded Height,Occupancy,Department,Base Finish,Ceiling Finish,Wall Finish,Floor Finish,Occupant,Computation Height,Leader Line,Angle,Show Volume,Show Room Number,Show Area,Electrical Data,Calculate Coefficient of Utilization,Coefficient of Utilization,Switch ID,Tilt Angle,Photometric Web File,Light Loss Factor,Initial Intensity,Initial Color,Dimming Lamp Color Temperature Shift,Color Filter,Light Source Definition (family),Load Classification,Number of Poles,Lamp,Wattage Comments,Apparent Load,Base Material,Shade Material,Feed Through Lugs,SubFeed Lugs,MCB Rating,Feed,Circuit Naming,Circuit Prefix Separator,Circuit Prefix,Modifications,Mains,Short Circuit Rating,Max Number of Single Pole Breakers,Distribution System,Supply From,Number of Wires,Number of Phases,Circuit Numbering Option,Enclosure,Mounting,Panel Name,Total Connected,Total Estimated Demand,Total Demand Factor,Total Connected Current,Total Estimated Demand Current,Apparent Load Phase A,Apparent Load Phase B,Apparent Load Phase C,Current Phase A,Current Phase B,Current Phase C,Schedule Header Notes,Schedule Footer Notes,Neutral Rating,Neutral Bus,Ground Bus,Bussing,Mains Type,Wattage,Mounting Height,Placement Height,Family Name
0,40,9693c920-050e-4443-9b38-2491295576d1-00000000,0,A10 - Substructure [0],Revit Phases,-2000112.0,Phase Settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10 - Substructure
1,43,9693c920-050e-4443-9b38-2491295576d1-00000002,2,01 - Existing [2],Revit Phases,-2000112.0,Phase Settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,01 - Existing
2,787,1946603f-8ed1-4429-9d07-4a2981632975-000020cf,8399,02 - Demo [8399],Revit Phases,-2000112.0,Phase Settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,02 - Demo
3,788,1946603f-8ed1-4429-9d07-4a2981632975-000020d1,8401,B20 - Exterior Enclosure [8401],Revit Phases,-2000112.0,Phase Settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B20 - Exterior Enclosure
4,789,f440c2b6-09c3-46da-b5c7-670feedae5cf-000020d6,8406,C10 - Interior Construction [8406],Revit Phases,-2000112.0,Phase Settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C10 - Interior Construction
5,790,f440c2b6-09c3-46da-b5c7-670feedae5cf-000020d7,8407,C20 - Interior Finishes [8407],Revit Phases,-2000112.0,Phase Settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C20 - Interior Finishes
6,791,f440c2b6-09c3-46da-b5c7-670feedae5cf-000020d8,8408,E20 - Furnishings [8408],Revit Phases,-2000112.0,Phase Settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E20 - Furnishings
7,809,7e9a3fa0-8db1-47a1-9818-30c61a5dd7c7-00002531,9521,Project Completion [9521],Revit Phases,-2000112.0,Phase Settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Project Completion
8,1424,ffea8391-70d9-4e34-bb2d-23ebf4cfd6b4-00010c26,68646,B10 - Superstructure [68646],Revit Phases,-2000112.0,Phase Settings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B10 - Superstructure
9,66,9693c920-050e-4443-9b38-2491295576d1-00000018,24,Default,Revit Materials,-2000700.0,Materials,,,,By Type,,,2MayaW1Gv4Gviu994fLNR9,,,,,,0.0,,8355711.0,0,0.0,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
